Id,v,longitude,latitude,rin,eevvib,eevrot,deltaebarrier,bin
356,6,-1,-39.95737,2.000756,1.116977,0.000333,-3.995739,17
357,6,-2,-39.95072,2.000782,1.116977,0.000998,-3.99508,17
358,6,-3,-39.94074,2.000821,1.116977,0.001995,-3.994097,17
359,6,-4,-39.92744,2.000872,1.116977,0.003326,-3.992793,17
360,2,-65,-39.91963,2.122247,0.384816,0.736267,-4.12195,25
361,6,-5,-39.91081,2.000936,1.116977,0.004988,-3.99117,17
362,4,-46,-39.90811,2.053773,0.757012,0.365223,-4.036245,8
363,6,-6,-39.89086,2.001014,1.116977,0.006983,-3.989231,17
364,6,-7,-39.86759,2.001104,1.116977,0.009311,-3.98698,17
365,5,-33,-39.86521,2.026162,0.938498,0.188027,-4.002902,4
366,1,-73,-39.84721,2.168986,0.194009,0.934316,-4.16165,2
367,6,-8,-39.841,2.001207,1.116977,0.01197,-3.984417,17
368,0,-80,-39.83456,2.238357,0,1.129591,-4.207149,1
369,6,-9,-39.81108,2.001323,1.116977,0.014962,-3.981547,17
370,3,-57,-39.77821,2.085807,0.572467,0.562758,-4.067628,46
371,6,-10,-39.77785,2.001452,1.116977,0.018285,-3.978372,17
372,5,-34,-39.75175,2.026608,0.938498,0.199374,-3.992984,4
373,4,-47,-39.7506,2.054402,0.757012,0.380975,-4.024,8
374,6,-11,-39.74129,2.001593,1.116977,0.02194,-3.974893,17
375,6,-12,-39.70142,2.001748,1.116977,0.025927,-3.971115,17
376,2,-66,-39.69658,2.123173,0.384816,0.758572,-4.105139,25
377,6,-13,-39.65824,2.001916,1.116977,0.030246,-3.967038,17
378,5,-35,-39.635,2.027067,0.938498,0.211048,-3.982817,4
379,6,-14,-39.61174,2.002096,1.116977,0.034895,-3.962666,17
380,1,-74,-39.59614,2.17006,0.194009,0.959424,-4.142894,2
381,4,-48,-39.58984,2.055045,0.757012,0.397051,-4.011538,8
382,3,-58,-39.58313,2.086601,0.572467,0.582266,-4.052778,46
383,6,-15,-39.56194,2.00229,1.116977,0.039876,-3.958002,17
384,0,-81,-39.55856,2.23959,0,1.157191,-4.186672,1
385,5,-36,-39.51498,2.02754,0.938498,0.22305,-3.972407,4
386,6,-16,-39.50882,2.002496,1.116977,0.045188,-3.953046,17
387,2,-67,-39.47037,2.124115,0.384816,0.781194,-4.088118,25
