######################################################################################################################################################
# jqn   : the rotational q.n. of the i'th quantum state
# vqn   : the vibrational q.n. of the i'th quantum state
# eint  : internal energy of i'th quantum state [Eh]
# egam  : Half width of i'th quantum state
# rmin  : the position of the potential minimum (included centrifugal potential) for i'th quantum state
# vmin  : the value of the potential minimun (inc. cent. pot.)
# vmax  : the value of the local potential maximum (inc. cent. pot.)
# tau   : the vibrational period of the i'th quantum state
# ri    : inner turning point
# ro    : outter turning point
# rmax  : location of maximum in centrifugal barrier
######################################################################################################################################################
#    vqn  jqn   eint            egam            rmin          rmax          vmin            vmax            tau           ri             ro
######################################################################################################################################################
     2   28  2.2934379E-02  0.0000000E+00  2.2881952E+00  7.1730773E+00  5.3316306E-03  1.9189029E-01  9.1134026E+02  2.0982753E+00  2.5427306E+00
     2   29  2.3303514E-02  0.0000000E+00  2.2886249E+00  7.0719391E+00  5.7113798E-03  1.9192950E-01  9.1190110E+02  2.0986683E+00  2.5432595E+00
     1   44  2.3472407E-02  0.0000000E+00  2.2971072E+00  5.0782949E+00  1.2950812E-02  1.9293448E-01  9.0724484E+02  2.1446253E+00  2.4885986E+00
     0   55  2.3568646E-02  0.0000000E+00  2.3056182E+00  4.8521887E+00  2.0072159E-02  1.9447956E-01  9.0235852E+02  2.2129834E+00  2.4113199E+00
     2   30  2.3685223E-02  0.0000000E+00  2.2890767E+00  6.9754289E+00  6.1040700E-03  1.9197121E-01  9.1248208E+02  2.0990752E+00  2.5438071E+00
     1   45  2.4047123E-02  0.0000000E+00  2.2978036E+00  5.0430118E+00  1.3535445E-02  1.9305501E-01  9.0811137E+02  2.1452552E+00  2.4893921E+00
     2   31  2.4079489E-02  0.0000000E+00  2.2895469E+00  6.8828300E+00  6.5096854E-03  1.9201549E-01  9.1308327E+02  2.0994958E+00  2.5443733E+00
     0   56  2.4286647E-02  0.0000000E+00  2.3064905E+00  4.8391006E+00  2.0794288E-02  1.9464311E-01  9.0342967E+02  2.2138047E+00  2.4122587E+00
     2   32  2.4486296E-02  0.0000000E+00  2.2900364E+00  6.7935423E+00  6.9282100E-03  1.9206243E-01  9.1370476E+02  2.0999303E+00  2.5449582E+00
     1   46  2.4634243E-02  0.0000000E+00  2.2985030E+00  5.0139820E+00  1.4132706E-02  1.9317979E-01  9.0899907E+02  2.1458997E+00  2.4902041E+00
